Model,Brand,Total Annual Energy Consumption (kWh/year),Total water consumption (L/cycle),Size,Type,Volume of hot water used (litres),Drying Option,Appliance Type
F4DWT24FI1,Fulgor Milano,260,12.87,standard,built-in,12.87,power-dry off,Dishwasher
F4DWT24DS1,Fulgor Milano,260,12.87,standard,built-in,12.87,power-dry off,Dishwasher
F4DWS24FI1,Fulgor Milano,260,12.87,standard,built-in,12.87,power-dry off,Dishwasher
F4DWT24SS1,Fulgor Milano,260,12.87,standard,built-in,12.87,power-dry off,Dishwasher
WB82,Equator,260,12.87,standard,built-in,12.87,power-dry off,Dishwasher
SB82,Equator,260,12.87,standard,built-in,12.87,power-dry off,Dishwasher
BB82,Equator,260,12.87,standard,built-in,12.87,power-dry off,Dishwasher
ULBYB52A3R51B00,Finlux,260,12.87,standard,built-in,12.87,power-dry with fan on and heat off,Dishwasher
STU8222,Smeg,260,12.87,standard,built-in,12.87,heat-only,Dishwasher
RDW2480,RCA,260,12.87,standard,built-in,12.87,power-dry off,Dishwasher
ULBYB52A3R51I00,Finlux,260,12.87,standard,built-in,12.87,power-dry with fan on and heat off,Dishwasher
DD24DI9,Fisher & Paykel,263,12.4,standard,built-in,12.4,power-dry with fan on and heat off,Dishwasher
DD24DV2T9,Fisher & Paykel,263,12.4,standard,built-in,12.4,power-dry with fan on and heat off,Dishwasher
DD24DDFTX9,Fisher & Paykel,263,12.4,standard,built-in,12.4,power-dry with fan on and heat off,Dishwasher
DD24DTI9,Fisher & Paykel,263,12.4,standard,built-in,12.4,power-dry with fan on and heat off,Dishwasher
DD24DV2T9,DCS by Fisher & Paykel,263,12.4,standard,built-in,12.4,power-dry with fan on and heat off,Dishwasher
ST8646XU,Smeg,265,12.87,standard,built-in,12.87,heat-only,Dishwasher
DWTPC10SS-2,Porter & Charles,265,12.87,standard,built-in,12.87,heat-only,Dishwasher
DWTPC10FI-2,Porter & Charles,265,12.87,standard,built-in,12.87,heat-only,Dishwasher
DWTPC10SS,Porter & Charles,265,12.87,standard,built-in,12.87,heat-only,Dishwasher
DWTPC5FC,Porter & Charles,265,12.87,standard,built-in,12.87,heat-only,Dishwasher
DWTPC10FI,Porter & Charles,265,12.87,standard,built-in,12.87,heat-only,Dishwasher
LSPU8212S,Smeg,265,12.87,standard,built-in,12.87,heat-only,Dishwasher
LSPU8612S,Smeg,265,12.87,standard,built-in,12.87,heat-only,Dishwasher
F89088VI-S,AEG-Electrolux,265,12.87,standard,built-in,12.87,heat-only,Dishwasher
F89088VI-M,AEG-Electrolux,265,12.87,standard,built-in,12.87,heat-only,Dishwasher
F89088VI-S-2,AEG-Electrolux,265,12.87,standard,built-in,12.87,heat-only,Dishwasher
F89088VI-M-2,AEG-Electrolux,265,12.87,standard,built-in,12.87,heat-only,Dishwasher
F6DW24SS1,Fulgor Milano,265,12.87,standard,built-in,12.87,heat-only,Dishwasher
F6DW24FI1,Fulgor Milano,265,12.87,standard,built-in,12.87,heat-only,Dishwasher
F6PDW24SS1,Fulgor Milano,265,12.87,standard,built-in,12.87,heat-only,Dishwasher
ST8646U,Smeg,265,12.87,standard,built-in,12.87,heat-only,Dishwasher
DWTPC5FC-2,Porter & Charles,265,12.87,standard,built-in,12.87,heat-only,Dishwasher
ST8649U,Smeg,265,12.87,standard,built-in,12.87,heat-only,Dishwasher
ST8246U,Smeg,265,12.87,standard,built-in,12.87,heat-only,Dishwasher
STU8249,Smeg,265,12.87,standard,built-in,12.87,heat-only,Dishwasher
STU8649,Smeg,265,12.87,standard,built-in,12.87,heat-only,Dishwasher
STU8649X,Smeg,265,12.87,standard,built-in,12.87,heat-only,Dishwasher
STU8212,Smeg,265,12.87,standard,built-in,12.87,heat-only,Dishwasher
STU8612,Smeg,265,12.87,standard,built-in,12.87,heat-only,Dishwasher
STU8612X,Smeg,265,12.87,standard,built-in,12.87,heat-only,Dishwasher
DD24DCT*9,Fisher & Paykel,265,13.02,standard,built-in,13.02,power-dry with fan on and heat off,Dishwasher
DD24D**9,Fisher & Paykel,265,13.02,standard,built-in,13.02,power-dry with fan on and heat off,Dishwasher
DW80J3020**,Samsung,265,13.2,standard,built-in,13.2,power-dry off,Dishwasher
DW80M3021**,Samsung,265,13.2,standard,built-in,13.2,power-dry with fan on and heat off,Dishwasher
DW60R2014**,Samsung,265,13.2,standard,built-in,13.2,power-dry off,Dishwasher
DW80R506***,Samsung,265,13.2,standard,built-in,13.2,power-dry off,Dishwasher
DW80T504***,Samsung,265,13.2,standard,built-in,13.2,power-dry off,Dishwasher
DW80K5050**,Samsung,265,13.2,standard,built-in,13.2,power-dry off,Dishwasher
GDPP4517***A,Frigidaire,268,13.25,standard,built-in,12.91,power-dry with fan and heat on,Dishwasher
DF480761,Gaggenau,269,8.638,standard,built-in,8.638,heat-only,Dishwasher
DF481761F,Gaggenau,269,8.638,standard,built-in,8.638,heat-only,Dishwasher
DF481761,Gaggenau,269,8.638,standard,built-in,8.638,heat-only,Dishwasher
DF480761F,Gaggenau,269,8.638,standard,built-in,8.638,heat-only,Dishwasher
SHXM78W5#*,Bosch,269,8.677,standard,built-in,8.677,heat-only,Dishwasher
SHS843AF**,Bosch,269,8.704,standard,built-in,8.704,heat-only,Dishwasher
SHP865ZP#*,Bosch,269,8.769,standard,built-in,8.769,heat-only,Dishwasher
SHPM65Z5#*,Bosch,269,8.769,standard,built-in,8.769,heat-only,Dishwasher
SHXM65Z5#*,Bosch,269,8.769,standard,built-in,8.769,heat-only,Dishwasher
SHP865ZD#*,Bosch,269,8.769,standard,built-in,8.769,heat-only,Dishwasher
SHVM78Z5#*,Bosch,269,8.8,standard,built-in,8.8,heat-only,Dishwasher
SHP878ZD#*,Bosch,269,8.8,standard,built-in,8.8,heat-only,Dishwasher
SHXM78Z5#*,Bosch,269,8.8,standard,built-in,8.8,heat-only,Dishwasher
SHPM78Z5#*,Bosch,269,8.8,standard,built-in,8.8,heat-only,Dishwasher
SHEM78Z5#*,Bosch,269,8.8,standard,built-in,8.8,heat-only,Dishwasher
SHEM78ZH#*,Bosch,269,8.8,standard,built-in,8.8,heat-only,Dishwasher
SHV878ZD#*,Bosch,269,8.8,standard,built-in,8.8,heat-only,Dishwasher
SHP865****,Bosch,269,9.009,standard,built-in,9.009,heat-only,Dishwasher
DWHD771***,Thermador,269,9.046,standard,built-in,9.046,heat-only,Dishwasher
DWHD660***,Thermador,269,9.046,standard,built-in,9.046,heat-only,Dishwasher
DWHD650***,Thermador,269,9.046,standard,built-in,9.046,heat-only,Dishwasher
DWHD770***,Thermador,269,9.081,standard,built-in,9.081,heat-only,Dishwasher
DWHD870***,Thermador,269,9.081,standard,built-in,9.081,heat-only,Dishwasher
SHVM88Z7#*,Bosch,269,9.131,standard,built-in,9.131,heat-only,Dishwasher
SHXM88Z7#*,Bosch,269,9.131,standard,built-in,9.131,heat-only,Dishwasher
SHX87PZ5#*,Bosch,269,9.131,standard,built-in,9.131,heat-only,Dishwasher
SHP87PZ5#*,Bosch,269,9.131,standard,built-in,9.131,heat-only,Dishwasher
SHPM88Z7#*,Bosch,269,9.131,standard,built-in,9.131,heat-only,Dishwasher
SHEM3A****,Bosch,269,9.6,standard,built-in,9.6,heat-only,Dishwasher
SHX84A****,Bosch,269,9.661,standard,built-in,9.661,heat-only,Dishwasher
SHXM4A****,Bosch,269,9.661,standard,built-in,9.661,heat-only,Dishwasher
SHE88PZ6#*,Bosch,269,9.736,standard,built-in,9.736,heat-only,Dishwasher
SHV88PZ5#*,Bosch,269,9.736,standard,built-in,9.736,heat-only,Dishwasher
SHP88PZ5#*,Bosch,269,9.736,standard,built-in,9.736,heat-only,Dishwasher
SHV88PZ6#*,Bosch,269,9.736,standard,built-in,9.736,heat-only,Dishwasher
SHX88PZ5#*,Bosch,269,9.736,standard,built-in,9.736,heat-only,Dishwasher
SHX88PZ6#*,Bosch,269,9.736,standard,built-in,9.736,heat-only,Dishwasher
UPDF991#**,Signature Kitchen Suite,269,10.98,standard,built-in,10.98,power-dry with fan on and heat off,Dishwasher
LUDP899#**,LG Signature,269,10.98,standard,built-in,10.98,power-dry with fan on and heat off,Dishwasher
LSDT990#**,LG,269,10.98,standard,built-in,10.98,power-dry with fan on and heat off,Dishwasher
LSDTS988**,LG,269,10.98,standard,built-in,10.98,power-dry with fan on and heat off,Dishwasher
SHV89PW5**,Bosch,269,11,standard,built-in,11,heat-only,Dishwasher
SHV88PW5**,Bosch,269,11,standard,built-in,11,heat-only,Dishwasher
SHX88PW5**,Bosch,269,11,standard,built-in,11,heat-only,Dishwasher
SHVM98W7**,Bosch,269,11,standard,built-in,11,heat-only,Dishwasher
SHXM98W7**,Bosch,269,11,standard,built-in,11,heat-only,Dishwasher
SHPM98W7**,Bosch,269,11,standard,built-in,11,heat-only,Dishwasher
SHP88PW5**,Bosch,269,11,standard,built-in,11,heat-only,Dishwasher
SHVM4A****,Bosch,269,11,standard,built-in,11,heat-only,Dishwasher
SHSM53B5**,Bosch,269,11,standard,built-in,11,heat-only,Dishwasher
SHE89PW5**,Bosch,269,11,standard,built-in,11,heat-only,Dishwasher
SHXN8U5###,Bosch,269,11,standard,built-in,11,heat-only,Dishwasher
SHX89PW5**,Bosch,269,11,standard,built-in,11,heat-only,Dishwasher
SHSM63W5**,Bosch,269,11,standard,built-in,11,heat-only,Dishwasher
SHXM63W5**,Bosch,269,11,standard,built-in,11,heat-only,Dishwasher
SHVM63W5**,Bosch,269,11,standard,built-in,11,heat-only,Dishwasher
SHS863WD**,Bosch,269,11,standard,built-in,11,heat-only,Dishwasher
SHX863WD**,Bosch,269,11,standard,built-in,11,heat-only,Dishwasher
SHV863WD**,Bosch,269,11,standard,built-in,11,heat-only,Dishwasher
SHPM65W5**,Bosch,269,11,standard,built-in,11,heat-only,Dishwasher
SHPM78W5**,Bosch,269,11,standard,built-in,11,heat-only,Dishwasher
SHXM78W5**,Bosch,269,11,standard,built-in,11,heat-only,Dishwasher
SHVM78W5**,Bosch,269,11,standard,built-in,11,heat-only,Dishwasher
SHEM63W5**,Bosch,269,11,standard,built-in,11,heat-only,Dishwasher
SHXM63WS**,Bosch,269,11,standard,built-in,11,heat-only,Dishwasher
SHX87PW5**,Bosch,269,11,standard,built-in,11,heat-only,Dishwasher
SHX5AVB***,Bosch,269,12.11,standard,built-in,12.11,heat-only,Dishwasher
SHX5AVL***,Bosch,269,12.11,standard,built-in,12.11,heat-only,Dishwasher
SHS5AVL***,Bosch,269,12.11,standard,built-in,12.11,heat-only,Dishwasher
SHX5AVF***,Bosch,269,12.11,standard,built-in,12.11,heat-only,Dishwasher
SHX5AV5***,Bosch,269,12.11,standard,built-in,12.11,heat-only,Dishwasher
SHS5AV5***,Bosch,269,12.11,standard,built-in,12.11,heat-only,Dishwasher
SHS5AVF***,Bosch,269,12.11,standard,built-in,12.11,heat-only,Dishwasher
SHV4AT5###,Bosch,269,12.11,standard,built-in,12.11,heat-only,Dishwasher
SHX4AT7###,Bosch,269,12.11,standard,built-in,12.11,heat-only,Dishwasher
SHX4AT5###,Bosch,269,12.11,standard,built-in,12.11,heat-only,Dishwasher
SHX4ATF###,Bosch,269,12.11,standard,built-in,12.11,heat-only,Dishwasher
SHE3AR7#UC,Bosch,269,12.11,standard,built-in,12.11,heat-only,Dishwasher
SHX3AR7#UC,Bosch,269,12.11,standard,built-in,12.11,heat-only,Dishwasher
SHV4ATB***,Bosch,269,12.11,standard,built-in,12.11,heat-only,Dishwasher
LUDWT30250,Breda,269,13.2,standard,built-in,0,heat-only,Dishwasher
LUDWT30155,Breda,269,13.2,standard,built-in,0,heat-only,Dishwasher
LUDWT30150,Breda,269,13.2,standard,built-in,0,heat-only,Dishwasher
LUDWA30155,Breda,269,13.2,standard,built-in,0,heat-only,Dishwasher
LUDWA30150,Breda,269,13.2,standard,built-in,0,heat-only,Dishwasher
HUI6220XCUS,Hisense,269,13.2,standard,built-in,0,heat-only,Dishwasher
HUI6230XCUS,Hisense,269,13.2,standard,built-in,0,heat-only,Dishwasher
TDPC4221***A,Tappan,269,16.09,standard,built-in,15.07,power-dry with fan and heat on,Dishwasher
PFD102I,Miele,270,12.5,standard,built-in,0,air dry,Dishwasher
PFD101U,Miele,270,12.5,standard,built-in,0,air dry,Dishwasher
PFD101I,Miele,270,12.5,standard,built-in,0,air dry,Dishwasher
PFD101,Miele,270,12.5,standard,built-in,0,air dry,Dishwasher
PFD103SCIXXL,Miele,270,12.5,standard,built-in,0,air dry,Dishwasher
PFD104SCVIXXL,Miele,270,12.5,standard,built-in,0,air dry,Dishwasher
FFCD2418***A,Frigidaire,270,12.6,standard,built-in,12.6,heat on/off,Dishwasher
FFCD2413***A,Frigidaire,270,12.6,standard,built-in,12.6,heat on/off,Dishwasher
LDS504#***,LG,270,12.87,standard,built-in,12.87,power-dry with fan on and heat off,Dishwasher
LDS554#***,LG,270,12.87,standard,built-in,12.87,power-dry with fan on and heat off,Dishwasher
GDT53***P***,GE,270,13.2,standard,built-in,13.2,power-dry with fan and heat on,Dishwasher
GDF64***N***,GE,270,13.2,standard,built-in,13.2,power-dry with fan and heat on,Dishwasher
EIDW1815**,Electrolux,270,13.2,standard,built-in,13.2,power-dry off,Dishwasher
PBT86***M***,GE Profile,270,13.2,standard,built-in,13.2,power-dry with fan and heat on,Dishwasher
QDP55***N***,Haier,270,13.2,standard,built-in,13.2,power-dry with fan and heat on,Dishwasher
GSD33**K****,GE,270,13.2,standard,built-in,13.2,heat-only,Dishwasher
GDF51***M***,GE,270,13.2,standard,built-in,13.2,heat-only,Dishwasher
GDT53***M***,GE,270,13.2,standard,built-in,13.2,heat-only,Dishwasher
GDF53***M***,GE,270,13.2,standard,built-in,13.2,heat-only,Dishwasher
GDT60***M***,GE,270,13.2,standard,built-in,13.2,heat-only,Dishwasher
GDF63***M***,GE,270,13.2,standard,built-in,13.2,heat-only,Dishwasher
GDT63***M***,GE,270,13.2,standard,built-in,13.2,heat-only,Dishwasher
GBT41***M***,GE Appliances,270,13.2,standard,built-in,13.2,power-dry with fan and heat on,Dishwasher
GBT63***M***,GE Appliances,270,13.2,standard,built-in,13.2,power-dry with fan and heat on,Dishwasher
GBF53***M***,GE Appliances,270,13.2,standard,built-in,13.2,power-dry with fan and heat on,Dishwasher
GDF64***M***,GE,270,13.2,standard,built-in,13.2,heat-only,Dishwasher
GBF18***M***,GE Appliances,270,13.2,standard,built-in,13.2,power-dry with fan and heat on,Dishwasher
DBP655**T***,GE Adora,270,13.2,standard,built-in,13.2,power-dry with fan and heat on,Dishwasher
404.621.69,Ikea,270,13.2,standard,built-in,13.2,power-dry off,Dishwasher
MBF42***M***,Moffat,270,13.2,standard,built-in,13.2,power-dry with fan and heat on,Dishwasher
CDT800**N***,Café,270,13.2,standard,built-in,13.2,power-dry with fan and heat on,Dishwasher
ZDT16***L***,Monogram,270,13.2,standard,built-in,13.2,power-dry with fan on and heat off,Dishwasher
GBF41***M***,GE Appliances,270,13.2,standard,built-in,13.2,power-dry with fan and heat on,Dishwasher
WDF340PAM**,Whirlpool,270,13.25,standard,built-in,13.25,power-dry and heat on,Dishwasher
WDPA70SAM**,Whirlpool,270,13.25,standard,built-in,13.25,power-dry and heat on,Dishwasher
WDF331PAM**,Whirlpool,270,13.25,standard,built-in,13.25,power-dry and heat on,Dishwasher
WDT530HAM**,Whirlpool,270,13.25,standard,built-in,13.25,power-dry and heat on,Dishwasher
WDP560HAM**,Whirlpool,270,13.25,standard,built-in,13.25,power-dry and heat on,Dishwasher
ADB1400AM**,Amana,270,13.25,standard,built-in,13.25,power-dry and heat on,Dishwasher
GDPH4515***A,Frigidaire,270,13.25,standard,built-in,12.23,power-dry with fan and heat on,Dishwasher
GDPP4515***A,Frigidaire,270,13.25,standard,built-in,12.23,power-dry with fan and heat on,Dishwasher
FDSH4501***A,Frigidaire,270,13.25,standard,built-in,9.39,power-dry off,Dishwasher
FDSH450L***A,Frigidaire,270,13.25,standard,built-in,9.39,power-dry off,Dishwasher
JDPSS244L**,Jenn-Air,270,13.25,standard,built-in,13.25,power-dry and heat on,Dishwasher
JDPSG244L**,Jenn-Air,270,13.25,standard,built-in,13.25,power-dry and heat on,Dishwasher
JDPSS245L**,Jenn-Air,270,13.25,standard,built-in,13.25,power-dry and heat on,Dishwasher
JDPSS246L**,Jenn-Air,270,13.25,standard,built-in,13.25,power-dry and heat on,Dishwasher
MDB9979SK**,Maytag,270,13.25,standard,built-in,13.25,power-dry with fan and heat on,Dishwasher
MDB9959SK**,Maytag,270,13.25,standard,built-in,13.25,power-dry with fan and heat on,Dishwasher
MDB7959SK**,Maytag,270,13.25,standard,built-in,13.25,power-dry and heat on,Dishwasher
MDB8959SK**,Maytag,270,13.25,standard,built-in,13.25,power-dry and heat on,Dishwasher
MDB4949SK**,Maytag,270,13.25,standard,built-in,13.25,power-dry and heat on,Dishwasher
MDTS4224P**,Maytag,270,13.25,standard,built-in,13.25,power-dry and heat on,Dishwasher
MDPS4224R**,Maytag,270,13.25,standard,built-in,13.25,power-dry and heat on,Dishwasher
WDF331PAH**,Whirlpool,270,13.25,standard,built-in,13.25,heat on/off,Dishwasher
804.621.67,Lagan,270,13.25,standard,built-in,11.96,power-dry with fan and heat on,Dishwasher
KDTM804K***,KitchenAid,270,13.25,standard,built-in,13.25,power-dry with fan and heat on,Dishwasher
KDPM804K***,KitchenAid,270,13.25,standard,built-in,13.25,power-dry with fan and heat on,Dishwasher
KDTE304LPA*,KitchenAid,270,13.25,standard,built-in,13.25,power-dry with fan and heat on,Dishwasher
KDTM704LPA*,KitchenAid,270,13.25,standard,built-in,13.25,power-dry with fan and heat on,Dishwasher
KDTM404K***,KitchenAid,270,13.25,standard,built-in,13.25,power-dry and heat on,Dishwasher
KDFM404K***,KitchenAid,270,13.25,standard,built-in,13.25,power-dry and heat on,Dishwasher
KDFE104K***,KitchenAid,270,13.25,standard,built-in,13.25,power-dry and heat on,Dishwasher
KDFE204K***,KitchenAid,270,13.25,standard,built-in,13.25,power-dry and heat on,Dishwasher
KDTE204K***,KitchenAid,270,13.25,standard,built-in,13.25,power-dry and heat on,Dishwasher
PG8130I,Miele,270,13.25,standard,built-in,0,air dry,Dishwasher
PG8130U,Miele,270,13.25,standard,built-in,0,air dry,Dishwasher
PG8133SCVI,Miele,270,13.25,standard,built-in,0,air dry,Dishwasher
KDTM604K***,KitchenAid,270,13.25,standard,built-in,13.25,power-dry with fan and heat on,Dishwasher
KDPM604K***,KitchenAid,270,13.25,standard,built-in,13.25,power-dry with fan and heat on,Dishwasher
KDTM704K***,KitchenAid,270,13.25,standard,built-in,13.25,power-dry with fan and heat on,Dishwasher
KDPM704K***,KitchenAid,270,13.25,standard,built-in,13.25,power-dry with fan and heat on,Dishwasher
GLDW12FWEA5A,Galanz,270,13.25,standard,built-in,13.25,power-dry off,Dishwasher
GLDW12FSBA5A,Galanz,270,13.25,standard,built-in,13.25,power-dry off,Dishwasher
EDSH4944***A,Electrolux,270,13.25,standard,built-in,9.39,power-dry with fan and heat on,Dishwasher
905.222.84*A,Ikea,270,13.25,standard,built-in,12.23,power-dry with fan and heat on,Dishwasher
605.222.85*A,Ikea,270,13.25,standard,built-in,12.23,power-dry with fan and heat on,Dishwasher
905.045.72*A,Ikea,270,13.25,standard,built-in,9.7,power-dry with fan and heat on,Dishwasher
WDF330PAH**,Whirlpool,270,13.25,standard,built-in,13.25,heat on/off,Dishwasher
WDT730HAM**,Whirlpool,270,13.25,standard,built-in,13.25,power-dry with fan and heat on,Dishwasher
WDP730HAM**,Whirlpool,270,13.25,standard,built-in,13.25,power-dry with fan and heat on,Dishwasher
WDTA80SAK**,Whirlpool,270,13.25,standard,built-in,13.25,power-dry and heat on,Dishwasher
WDTA50SAK**,Whirlpool,270,13.25,standard,built-in,13.25,power-dry and heat on,Dishwasher
WDT750SAK**,Whirlpool,270,13.25,standard,built-in,13.25,power-dry and heat on,Dishwasher
WDT740SAL**,Whirlpool,270,13.25,standard,built-in,13.25,power-dry and heat on,Dishwasher
WDT970SAK**,Whirlpool,270,13.25,standard,built-in,13.25,power-dry and heat on,Dishwasher
WDT540HAM**,Whirlpool,270,13.25,standard,built-in,13.25,power-dry and heat on,Dishwasher
WDP540HAM**,Whirlpool,270,13.25,standard,built-in,13.25,power-dry and heat on,Dishwasher
587.146438J,Kenmore,270,16,standard,built-in,16,power-dry off,Dishwasher
FFBD1831**,Frigidaire,270,16,standard,built-in,16,power-dry off,Dishwasher
FFBD2420**,Frigidaire,270,16,standard,built-in,16,power-dry off,Dishwasher
587.146428J,Kenmore,270,16,standard,built-in,16,power-dry off,Dishwasher
587.146398J,Kenmore,270,16,standard,built-in,16,power-dry off,Dishwasher
587.146498J,Kenmore,270,16,standard,built-in,16,power-dry off,Dishwasher
587.146328J,Kenmore,270,16,standard,built-in,16,power-dry off,Dishwasher
587.146338J,Kenmore,270,16,standard,built-in,16,power-dry off,Dishwasher
FDPC4221****,Frigidaire,270,16.09,standard,built-in,15.07,power-dry with fan and heat on,Dishwasher
SHX2AR##UC,Bosch,279,12.11,standard,built-in,12.11,heat-only,Dishwasher
LDS504#**,LG,279,12.87,standard,built-in,12.87,power-dry with fan on and heat off,Dishwasher
LDS556#**,LG,279,12.87,standard,built-in,12.87,power-dry with fan on and heat off,Dishwasher
LDS554#**,LG,279,12.87,standard,built-in,12.87,power-dry with fan on and heat off,Dishwasher
PFD401240VUSST,Miele,280,18.9,standard,built-in,0,air dry,Dishwasher
PFD404208VUSST,Miele,280,18.9,standard,built-in,0,air dry,Dishwasher
PFD404240VUSST,Miele,280,18.9,standard,built-in,0,air dry,Dishwasher
PFD401208VUSST,Miele,280,18.9,standard,built-in,0,air dry,Dishwasher
DD24DCHT*9,Fisher & Paykel,282,14.42,standard,built-in,14.42,power-dry with fan on and heat off,Dishwasher
DD24DHTI9,Fisher & Paykel,286,14.8,standard,built-in,14.8,power-dry with fan on and heat off,Dishwasher
GSM22**V****,GE,307,18.9,standard,built-in,18.9,heat-only,Dishwasher
XDF25***R***,Crosley,307,18.9,standard,built-in,18.9,no user selectable power dry option,Dishwasher
GSD21**V****,GE,307,18.9,standard,built-in,18.9,heat-only,Dishwasher
HDF33***R***,Hotpoint,307,18.9,standard,built-in,18.9,no user selectable power dry option,Dishwasher
GDF45***R***,GE,307,18.9,standard,built-in,18.9,no user selectable power dry option,Dishwasher
HDA21**H****,Hotpoint,307,18.9,standard,built-in,18.9,heat-only,Dishwasher
HDF31***R***,Hotpoint,307,18.9,standard,built-in,18.9,no user selectable power dry option,Dishwasher
WDP370PAH**,Whirlpool,307,18.93,standard,portable,18.93,heat on/off,Dishwasher